Field_subtype,rpd,Source,all fileds,Sources,like_fields,
assesordetails,xx,imapp_foreclose,Mortgage 2 Interest Rate,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Last Payment Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Last Payment Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Page #,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Position,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Rate Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Borrower,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 2 Lender,imapp_foreclose,,
assesordetails,xx,imapp_foreclose,Mortgage 3 Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balance,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balloon,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balloon Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Balloon Remarks,imapp_foreclose,Mortgage 3 Document #,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Book #,imapp_foreclose,Mortgage 3 Instrument Date,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Interest Rate,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Last Payment Amount,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Last Payment Date,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Page #,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Position,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Rate Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Type,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Borrower,imapp_foreclose,,y
assesordetails,xx,imapp_foreclose,Mortgage 3 Lender,imapp_foreclose,,
assesordetails,xx,imapp_tax,Most Recent Sale Book,imapp_tax,,y
assesordetails,xx,imapp_tax,Most Recent Sale Date,imapp_tax,,y
assesordetails,xx,imapp_tax,Most Recent Sale Page,imapp_tax,,
assesordetails,xx,imapp_tax,Most Recent Sale Price,imapp_tax,,
MLS_agentdetals,x,RPD,MoveInDollars,RPD,,
litigationdetails ,xx,Real_foreclose_pre_running,My Bid,Real_foreclose_pre_running,,
litigationdetails ,xx,Real_foreclose_pre_running,Name,Real_foreclose_pre_running,,
assesordetails,xx,imapp_tax,Neighborhood Code,imapp_tax,,
MLS_agentdetals,x,RPD,NetOperatingIncome,"mls_x_o,imapp_X_C","NetOperatingIncome,Net Operating Income",
tracking,xx,kw_fsbo_X_C,Notes,kw_fsbo_X_C,,
MLS_agentdetals,x,RPD,NumberOfPets,RPD,,
litigationdetails ,xx,imapp_foreclose,Occupant Phone Number,imapp_foreclose,,
MLS_agentdetals,x,RPD,OfficeLeadType,RPD,,
MLS_agentdetals,x,RPD,OK2Adv_MLS,RPD,,
litigationdetails ,xx,Real_foreclose_pre_running,Opening Bid,Real_foreclose_pre_running,,
assesordetails,xx,imapp_tax,Opportunity Zone Description,imapp_tax,,
assesordetails,xx,imapp_tax,Opportunity Zone DescriptionProperty Address,imapp_tax,,
Ownerdetails,xx,imapp_foreclose,Owner Address - Country,imapp_foreclose,,
Ownerdetails,xx,imapp_tax,Owner Country,imapp_tax,,
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing Address,kw_fsbo_X_C,"Owner Address,Owner Address 1,Tax Address 1,TRUEMAILINGADDR1",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing City,kw_fsbo_X_C,"Owner Address - City,Owner City,Tax City,TRUEMAILINGCITY",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing State,kw_fsbo_X_C,"Owner State,Owner Address - State,Tax State,TRUEMAILINGSTATE",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing Zip,kw_fsbo_X_C,"Owner Postal Code,Owner Zip Code,Owner Zip,Tax Zip Code,TRUEMAILINGZIPCODE",
Ownerdetails,xx,kw_fsbo_X_C,Owner Mailing Zip_4,kw_fsbo_X_C,Owner Zip plus 4,
Ownerdetails,xx,mls_x_o,Owner Name,mls_x_o,"Tax Owner,Owner Name 1,TRUEOWNER1",
Ownerdetails,xx,imapp_tax,Owner Name 2,imapp_tax,TRUEOWNER2,
Ownerdetails,xx,mls_x_o,Arch Owner Name,mls_x_o,Owner NameOne,
Ownerdetails,xx,imapp_tax,Arch Owner Name 2,imapp_tax,Owner NameTwo,
Ownerdetails,xx,mls_x_o,Arch First Name,mls_x_o,Owner First Name,
Ownerdetails,xx,imapp_tax,Arch Last Name,imapp_tax,Owner Last Name,
Ownerdetails,xx,imapp_tax,Owner_CareOf,imapp_tax,Owner Address 2,
,xx,kw_fsbo_X_C,OwnerOccupied,kw_fsbo_X_C,Owner Occupied,
Ownerdetails,xx,imapp_foreclose,OwnerHouse ,imapp_foreclose,Owner Address - House Number,
Ownerdetails,x,RPD,OwnerName,RPD,,
MLS_agentdetals,x,RPD,OwnerPays,RPD,,
Ownerdetails,x,RPD,OwnerPhone,RPD,,
Ownerdetails,xx,imapp_foreclose,OwnerPostDirection,imapp_foreclose,Owner Address - Post Direction,
Ownerdetails,xx,imapp_foreclose,OwnerPreDirection,imapp_foreclose,Owner Address - Pre Direction,
Ownerdetails,xx,imapp_foreclose,OwnerStreetName,imapp_foreclose,Owner Address - Street Name,
Ownerdetails,xx,imapp_foreclose,OwnerStreetType,imapp_foreclose,Owner Address - Street Type,
Ownerdetails,xx,imapp_foreclose,OwnerUnitNumber,imapp_foreclose,Owner Address - Unit Number,
PropertyDetails,x,RPD,ParcelNumber,"imapp_tax,imapp_foreclose,Real_foreclose_pre_running,mls_x_o,imapp_X_C,Real_foreclose_sold","Parcel ID #,ParcelNumber,Parcel,Parcel ID,Folio Number,FOLIO",
PropertyDetails,xx,mls_x_o,Parking Total,"mls_x_o,imapp_X_C",#Parking Spaces,
PropertyDetails,x,RPD,ParkingFeatures,RPD,,
MLS_agentdetals,xx,mls_x_o,Pending Date,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,PetFeeDescription,RPD,,
MLS_agentdetals,x,RPD,PetRestrictions,RPD,,
MLS_agentdetals,x,RPD,PetsAllowed,RPD,,
MLS_agentdetals,x,RPD,PetSize,RPD,,
Ownerdetails,xx,fsboz,Fsbo Phone,fsboz,owner_number,
Ownerdetails,xx,kw_fsbo_X_C,Phone,kw_fsbo_X_C,Contact Phone,
Ownerdetails,xx,kw_fsbo_X_C,Phone DNC Status,kw_fsbo_X_C,Contact Phone DNC,
Ownerdetails,xx,kw_fsbo_X_C,Phone Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone Type,kw_fsbo_X_C,Contact Line Type,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2,kw_fsbo_X_C,Augmented Phone 1_2,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2 DNC Status,kw_fsbo_X_C,Augmented Phone 1_2 DNC,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 2 Type,kw_fsbo_X_C,Augmented Line Type 1_2,
Ownerdetails,xx,kw_fsbo_X_C,Phone 3,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 3 DNC Status,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 3 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 3 Type,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 4,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 4 DNC Status,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 4 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 4 Type,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 5,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 5 DNC Status,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 5 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 5 Type,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 6,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 6 DNC Status,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 6 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 6 Type,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 7,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 7 DNC Status,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 7 Label,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,Phone 7 Type,kw_fsbo_X_C,,
Ownerdetails,xx,imapp_tax,Phone Contact,imapp_tax,,
Ownerdetails,xx,imapp_tax,Phone Number,imapp_tax,,
litigationdetails,xx,imapp_foreclose,Plaintiff 2,imapp_foreclose,,
litigationdetails,xx,imapp_foreclose,Plaintiff 3,imapp_foreclose,,
litigationdetails,xx,imapp_foreclose,Plaintiff 4,imapp_foreclose,,
litigationdetails,xx,imapp_foreclose,Plaintiff 5,imapp_foreclose,,
litigationdetails,xx,imapp_foreclose,Plaintiff 6,imapp_foreclose,,
litigationdetails,xx,imapp_foreclose,Plaintiff 7,imapp_foreclose,,
litigationdetails ,xx,Real_foreclose_pre_running,Plaintiff Max Bid,Real_foreclose_pre_running,,
PropertyDetails,xx,,Pool,"imapp_X_C,mls_x_o,imapp_tax","Pool (Y/N),Pool (y/n),Pool Flag,Pool YN",
PropertyDetails,xx,,Pool Size,",imapp_tax",,
PropertyDetails,xx,imapp_tax,Pool Size (sf),imapp_tax,,
PropertyDetails,x,RPD,PoolPrivateYN,RPD,,
litigationdetails ,xx,Real_foreclose_pre_running,POPR Fee,Real_foreclose_pre_running,,
PropertyDetails,x,RPD,PostalCode,"imapp_tax,kw_fsbo_X_C,Real_foreclose_pre_running","Zip,Zip Code,Property Zip Code,TRUESITEZIPCODE",
assesordetails,xx,mls_x_o,PPSF,"mls_x_o,imapp_X_C",,
assesordetails,xx,imapp_tax,Previous Sale Book,imapp_tax,,
assesordetails,xx,imapp_tax,Previous Sale Date,imapp_tax,,
assesordetails,xx,imapp_tax,Previous Sale Page,imapp_tax,,
assesordetails,xx,imapp_tax,Previous Sale Price,imapp_tax,,
litigationdetails ,xx,Real_foreclose_pre_running,Primary Plaintiff,Real_foreclose_pre_running,Plaintiff 1,
litigationdetails ,xx,kw_fsbo_X_C,Probate Date,kw_fsbo_X_C,,
PropertyDetails,xx,imapp_tax,Property Address Line 2,imapp_tax,,
PropertyDetails,xx,imapp_tax,Property Classification,imapp_tax,,
PropertyDetails,xx,mls_x_o,Property SqFt,"mls_x_o,imapp_X_C",,
PropertyDetails,xx,mls_x_o,Property Subtype,"mls_x_o,imapp_X_C",,
PropertyDetails,xx,mls_x_o,Property Type,"kw_fsbo_X_C,imapp_X_C,mls_x_o",,
PropertyDetails,xx,imapp_tax,Property Use Code,imapp_tax,,
PropertyDetails,xx,imapp_tax,Property Use Description,imapp_tax,,
PropertyDetails,xx,imapp_tax,Property Zip plus 4,imapp_tax,,
a_system,x,RPD,property_insert_time,RPD,,
a_system,x,RPD,property_last_updated,RPD,,
a_system,x,RPD,PropertyDescription,RPD,,
PropertyDetails,x,RPD,PropertySubType,RPD,,
PropertyDetails,x,RPD,PropertyType,RPD,,
MLS_agentdetals,x,RPD,PublicRemarks,kw_fsbo_X_C,"Remarks,Remarks/Ad Text",
MLS_agentdetals,x,RPD,PublicRemarksFiltered,RPD,,
assesordetails,xx,imapp_tax,Range,imapp_tax,,
tracking,xx,kw_fsbo_X_C,Rating,kw_fsbo_X_C,,
MLS_agentdetals,x,RPD,ReasonForCancellation,RPD,,
assesordetails,xx,Real_foreclose_pre_running,Rec Fees,Real_foreclose_pre_running,,
MLS_agentdetals,x,RPD,RentalDepositIncludes,RPD,,
MLS_agentdetals,x,RPD,RentDate,RPD,,
MLS_agentdetals,x,RPD,RentIncludes,RPD,,
MLS_agentdetals,x,RPD,RentPeriod,RPD,,
PropertyDetails,xx,mls_x_o,REO (Y/N),"mls_x_o,imapp_X_C",,
PropertyDetails,xx,imapp_tax,Roof Cover Material,imapp_tax,,
PropertyDetails,xx,imapp_tax,Roof Type,imapp_tax,,
PropertyDetails,xx,imapp_tax,Rooms,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Book,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Date,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Document Type,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Page,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Price,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Qualified,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 1 Vacant/Improved,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Book,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Date,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Document Type,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Page,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Price,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Qualified,imapp_tax,,
assesordetails,xx,imapp_tax,Sale 2 Vacant/Improved,imapp_tax,,
assesordetails,xx,imapp_tax,Sale Date Month/Year Only,imapp_tax,,
PropertyDetails,xx,mls_x_o,Sale or Rent,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,SaleTerms,RPD,,
assesordetails,xx,imapp_tax,Section,imapp_tax,,
MLS_agentdetals,x,RPD,SellingAgentDirectWorkPhone,RPD,,
MLS_agentdetals,x,RPD,SellingAgentEmail,RPD,,
MLS_agentdetals,x,RPD,SellingAgentFullName,"mls_x_o,imapp_X_C",Sale Agent Name,
MLS_agentdetals,x,RPD,SellingAgentMLSID,RPD,,
MLS_agentdetals,x,RPD,SellingOfficeMLSID,RPD,,
MLS_agentdetals,x,RPD,SellingOfficeName,"mls_x_o,imapp_X_C",Sale Office Name,
MLS_agentdetals,x,RPD,SellingOfficePhone,RPD,,
PropertyDetails,xx,mls_x_o,Short Sale (Y/N),"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,ShowingRequirements,RPD,,
assesordetails,xx,mls_x_o,Sold Date,"mls_x_o,imapp_X_C",,
assesordetails,xx,mls_x_o,Sold Price,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,SoldDate,RPD,,
MLS_agentdetals,x,RPD,SoldPrice,RPD,,
PropertyDetails,x,RPD,StandardAddress,RPD,,
PropertyDetails,x,RPD,StandardAddressFull,RPD,,
PropertyDetails,x,RPD,StandardPropType,RPD,,
PropertyDetails,x,RPD,StateOrProvince,"kw_fsbo_X_C,imapp_X_C,mls_x_o,imapp_tax,imapp_foreclose","State,Property State,TRUESTATE",
MLS_agentdetals,xx,RPD,StatusChangeDate,kw_fsbo_X_C,"Status Change Date,Processed Date",
PropertyDetails,xx,imapp_tax,Stories,imapp_tax,,
PropertyDetails,x,RPD,StreetDirPrefix,imapp_tax,Property Pre Direction,
PropertyDetails,x,RPD,StreetDirSuffix,imapp_tax,Property Post Direction,
PropertyDetails,x,RPD,StreetName,imapp_tax,Property Street Name,
PropertyDetails,x,RPD,StreetNumber,imapp_tax,Property House Number,
PropertyDetails,x,RPD,StreetSuffix,imapp_tax,Property Street Type,
PropertyDetails,xx,imapp_tax,Structural Description,imapp_tax,,
PropertyDetails,xx,mls_x_o,Style,"mls_x_o,imapp_X_C",,
MLS_agentdetals,x,RPD,SubAgencyCompensation,RPD,,
MLS_agentdetals,x,RPD,SubAgencyCompensationType,RPD,,
assesordetails,xx,imapp_tax,Subarea 1 Area,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 1 Code,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 1 Description,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 1 Year Built,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 2 Area,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 2 Code,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 2 Description,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 3 Area,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 3 Code,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 3 Description,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 3 Year Built,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 4 Area,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 4 Code,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 4 Description,imapp_tax,,
assesordetails,xx,imapp_tax,Subarea 4 Year Built,imapp_tax,,
PropertyDetails,x,RPD,SubdivisionName,"kw_fsbo_X_C,imapp_X_C,mls_x_o","Development Name,Subdivision Name,Subdivision",
PropertyDetails,x,RPD,SubdivisionNum,RPD,Subdivision Number,
litigationdetails,xx,imapp_foreclose,Summons Address,imapp_foreclose,,
litigationdetails,xx,imapp_foreclose,Summons Name,imapp_foreclose,,
a_system,x,RPD,syndaproptype,RPD,,
tracking,xx,kw_fsbo_X_C,Tags,kw_fsbo_X_C,,
Ownerdetails,xx,imapp_tax,Tax Roll Year,imapp_tax,,
assesordetails,xx,imapp_tax,Taxable Value,imapp_tax,,
MLS_agentdetals,x,RPD,TaxYear,RPD,,
a_system,x,RPD,tobe_removed,RPD,,
assesordetails,xx,imapp_tax,Total Area,imapp_tax,,
assesordetails,xx,imapp_tax,Total Assessed Value,imapp_tax,,
tracking,xx,kw_fsbo_X_C,Total Calls,kw_fsbo_X_C,,
litigationdetails ,xx,Real_foreclose_pre_running,Total Due,Real_foreclose_pre_running,,
assesordetails,xx,imapp_tax,Total Exempt Amount,imapp_tax,,
assesordetails,xx,imapp_tax,Total Exempt Value,imapp_tax,,
assesordetails,xx,imapp_tax,Total Heated (Living) Area,imapp_tax,,
assesordetails,xx,imapp_tax,Total Improved Value,imapp_tax,,
assesordetails,xx,imapp_tax,Total Taxable Value,imapp_tax,,
assesordetails,xx,imapp_tax,DeliquentAmt,imapp_tax,BalanceAmount,
assesordetails,xx,imapp_tax,Total Taxes,imapp_tax,,
assesordetails,xx,imapp_tax,Total Value,imapp_tax,TotalTax,
MLS_agentdetals,x,RPD,TotalWeightLimit,RPD,,
assesordetails,xx,imapp_tax,Township,imapp_tax,,
MLS_agentdetals,x,RPD,TransactionBrokerCompensation,RPD,,
MLS_agentdetals,x,RPD,TransactionBrokerCompensationType,RPD,,
PropertyDetails,x,RPD,TypeofProperty,RPD,,
PropertyDetails,xx,imapp_tax,Unit Type,imapp_tax,,
PropertyDetails,x,RPD,UnitNumber,"imapp_tax,kw_fsbo_X_C","Unit Number,Address2",
PropertyDetails,x,RPD,UnparsedAddress,RPD,,
a_system,x,RPD,updated_by_admin,RPD,,
PropertyDetails,x,RPD,Utilities,RPD,,
MLS_agentdetals,x,RPD,VirtualTourURLBranded,RPD,,
Ownerdetails,xx,kw_fsbo_X_C,Vline Status,kw_fsbo_X_C,,
MLS_agentdetals,x,RPD,Vowautomatedvaluationdisplay,RPD,,
PropertyDetails,x,RPD,WaterExtrasYN,RPD,,
PropertyDetails,x,RPD,Waterfront,"imapp_X_C,imapp_tax","Waterfront (Y/N),Waterfront (Yes/No),Waterfront Property (Y/N)",
PropertyDetails,xx,imapp_tax,Waterfront Type,imapp_tax,,
litigationdetails ,xx,Real_foreclose_sold,Winning Bid,Real_foreclose_sold,,
MLS_agentdetals,xx,mls_x_o,Withdrawn Date,"mls_x_o,imapp_X_C",,Y
PropertyDetails,x,RPD,YearBuilt,"imapp_foreclose,imapp_tax,imapp_X_C,kw_fsbo_X_C","Year Built,Year Built (actual),Actual Year Built",
PropertyDetails,x,RPD,YearRoofInstalled,RPD,,Y
MLS_agentdetals,xx,imapp_tax,YYYYYY,imapp_tax,,Y
PropertyDetails,xx,mls_x_o,Zoning,mls_x_o,,Y
MLS_agentdetals,xx,fsboz,agentok,fsboz,,Y
